Date,Type,category_name,Amount,Currency,Note,Labels,date_format,amount
2024-01-18T03:50:50+00:00,Expense,Groceries,-2.6397515,USD,,,2024-01,2.6397515
2024-01-18T08:03:01+00:00,Expense,Restaurant,-3.416149,USD,,,2024-01,3.416149
2024-01-19T08:29:13+00:00,Expense,Restaurant,-3.416149,USD,,,2024-01,3.416149
2024-01-20T02:06:45+00:00,Expense,Transport,-1.552795,USD,Bicycle rental,,2024-01,1.552795
2024-01-20T10:26:45+00:00,Expense,Coffee,-0.7763975,USD,,,2024-01,0.7763975
2024-01-20T10:27:20+00:00,Expense,Restaurant,-6.521739,USD,Fish curry Rajas ahangama,,2024-01,6.521739
2024-01-21T01:38:28+00:00,Expense,Acommodation,-89.1925448,USD,Suef forever nights and dinner,,2024-01,89.1925448
2024-01-21T02:38:33+00:00,Expense,Transport,-3.0434782,USD,Bus midigama colombo,,2024-01,3.0434782
2024-01-21T05:16:21+00:00,Expense,Restaurant,-1.863354,USD,Sandwich  ,,2024-01,1.863354
2024-01-21T07:29:15+00:00,Expense,Transport,-0.310559,USD,Dambulla to sgiriya,,2024-01,0.310559
2024-01-21T10:49:07+00:00,Expense,Transport,-2.795031,USD,,,2024-01,2.795031
2024-01-21T10:49:49+00:00,Expense,Transport,-1.863354,USD,,,2024-01,1.863354
2024-01-21T11:27:22+00:00,Expense,Transport,-2.795031,USD,Bus colobo to willpatu junction,,2024-01,2.795031
2024-01-21T16:46:25+00:00,Expense,Transport,-1.863354,USD,Tuk tuk junction,,2024-01,1.863354
2024-01-22T05:15:59+00:00,Expense,Restaurant,-5.4347825,USD,,,2024-01,5.4347825
2024-01-22T13:00:15+00:00,Expense,Acommodation,-17.52794996,USD,Willpatu llt 2 nights,,2024-01,17.52794996
2024-01-22T13:01:08+00:00,Expense,Activities,-86.95652,USD,Willpatu safari full day,,2024-01,86.95652
2024-01-22T13:01:22+00:00,Expense,Gifts,-3.10559,USD,Driver tip safari,,2024-01,3.10559
2024-01-23T03:32:44+00:00,Expense,Transport,-0.621118,USD,Bus will pati junction to anradpura,,2024-01,0.621118
2024-01-23T03:32:59+00:00,Expense,Transport,-0.621118,USD,Tuk to junctions ,,2024-01,0.621118
2024-01-23T05:15:31+00:00,Expense,Transport,-1.552795,USD,Bus anradhapura to Dambulla,,2024-01,1.552795
2024-01-23T14:47:04+00:00,Expense,Groceries,-4.037267,USD,,,2024-01,4.037267
2024-01-24T04:35:29+00:00,Expense,Transport,-1.0869565,USD,Tuk to pudubgala rock,,2024-01,1.0869565
2024-01-24T04:35:41+00:00,Expense,Activities,-3.10559,USD,Pudugabla rock,,2024-01,3.10559
2024-01-24T04:35:47+00:00,Expense,Groceries,-2.0186335,USD,,,2024-01,2.0186335
2024-01-24T08:11:01+00:00,Expense,Coffee,-1.242236,USD,,,2024-01,1.242236
2024-01-24T15:18:02+00:00,Expense,Restaurant,-4.347826,USD,,,2024-01,4.347826
2024-01-24T15:18:41+00:00,Expense,Activities,-18.63354,USD,Eco park elephant,,2024-01,18.63354
2024-01-25T03:17:33+00:00,Expense,Shopping,-384.0,USD,iPhone 14 Pro Trade In - falta santander cobro,,2024-01,384.0
2024-01-25T05:49:58+00:00,Expense,Utilities,-3.10559,USD,Data top up 7 days 10 gb daily ,,2024-01,3.10559
2024-01-25T09:23:59+00:00,Expense,Transport,-1.863354,USD,Bike half day,,2024-01,1.863354
2024-01-25T09:24:24+00:00,Expense,Transport,-1.863354,USD,Bike half day,,2024-01,1.863354
2024-01-25T09:25:44+00:00,Expense,Activities,-36.5625,USD,Lions rock,,2024-01,36.5625
2024-01-25T14:19:58+00:00,Expense,Acommodation,-31.875,USD,Another world sigiriya 3 nights,,2024-01,31.875
2024-01-26T04:13:48+00:00,Expense,Transport,-1.5625,USD,Sigiriya to Kandy,,2024-01,1.5625
2024-01-26T04:13:54+00:00,Expense,Groceries,-0.9375,USD,,,2024-01,0.9375
2024-01-26T15:32:40+00:00,Expense,Restaurant,-9.375,USD,Italian,,2024-01,9.375
2024-01-26T15:32:54+00:00,Expense,Transport,-1.5625,USD,,,2024-01,1.5625
2024-01-26T15:33:17+00:00,Expense,Transport,-3.75,USD,Tuk to nuwara eliya,,2024-01,3.75
2024-01-27T03:07:05+00:00,Expense,Acommodation,-10.9375,USD,Laughing leopard nuwara ella 1 night and cancellation fee,,2024-01,10.9375
